RekNr,Datum,Symbool,ISIN,Type optie,Expiratie,Strike,Valuta,Slotkoers,Aantal,Valutakoers,Contractgrootte,Waarde EUR,Waarde Orig Valuta,Aankoopwaarde,Type instrument,Binckcode,Titel instrument,
5,2020-01-09,TDT,NL0009272749,,31-12-1899,0,EUR,"61,23",3231,1,1,"197834,13","197834,13","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-09,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,835",2026,1,1,"66523,71","66523,71","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-09,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"55,85",1194,1,1,"66684,9","66684,9","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-09,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"55,962",1224,1,1,"68497,49","68497,49","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-09,USD,,,31-12-1899,0,USD,0,"4,61","1,11052",0,"4,15","4,61",0,,0,,0
5,2020-01-09,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-10,AEX,,PUT,20-03-2020,520,EUR,"0,63",3,1,100,189,189,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-10,AEX,,PUT,19-06-2020,540,EUR,"5,19",3,1,100,1557,1557,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-10,TDT,NL0009272749,,31-12-1899,0,EUR,"60,98",3231,1,1,"197026,38","197026,38","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-10,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,839",2026,1,1,"66531,81","66531,81","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-10,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,03",1194,1,1,"66899,82","66899,82","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-10,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"55,959",1224,1,1,"68493,82","68493,82","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-10,USD,,,31-12-1899,0,USD,0,"4,61","1,11217",0,"4,15","4,61",0,,0,,0
5,2020-01-10,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-11,AEX,,PUT,20-03-2020,520,EUR,"0,63",3,1,100,189,189,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-11,AEX,,PUT,19-06-2020,540,EUR,"5,19",3,1,100,1557,1557,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-11,TDT,NL0009272749,,31-12-1899,0,EUR,"60,98",3231,1,1,"197026,38","197026,38","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-11,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,839",2026,1,1,"66531,81","66531,81","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-11,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,03",1194,1,1,"66899,82","66899,82","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-11,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"55,959",1224,1,1,"68493,82","68493,82","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-11,USD,,,31-12-1899,0,USD,0,"4,61","1,11217",0,"4,15","4,61",0,,0,,0
5,2020-01-11,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-12,AEX,,PUT,20-03-2020,520,EUR,"0,63",3,1,100,189,189,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-12,AEX,,PUT,19-06-2020,540,EUR,"5,19",3,1,100,1557,1557,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-12,TDT,NL0009272749,,31-12-1899,0,EUR,"60,98",3231,1,1,"197026,38","197026,38","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-12,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,839",2026,1,1,"66531,81","66531,81","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-12,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,03",1194,1,1,"66899,82","66899,82","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-12,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"55,959",1224,1,1,"68493,82","68493,82","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-12,USD,,,31-12-1899,0,USD,0,"4,61","1,11217",0,"4,15","4,61",0,,0,,0
5,2020-01-12,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-13,AEX,,PUT,20-03-2020,520,EUR,"0,58",3,1,100,174,174,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-13,AEX,,PUT,19-06-2020,540,EUR,"5,26",3,1,100,1578,1578,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-13,TDT,NL0009272749,,31-12-1899,0,EUR,"60,84",3231,1,1,"196574,04","196574,04","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-13,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,797",2026,1,1,"66446,72","66446,72","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-13,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,38",1194,1,1,"67317,72","67317,72","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-13,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"55,851",1224,1,1,"68361,62","68361,62","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-13,USD,,,31-12-1899,0,USD,0,"4,61","1,11375",0,"4,14","4,61",0,,0,,0
5,2020-01-13,EUR,,,31-12-1899,0,EUR,0,"59304,44",1,0,"59304,44","59304,44",0,,1234,,0
5,2020-01-14,AEX,,PUT,20-03-2020,520,EUR,"0,51",3,1,100,153,153,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-01-14,AEX,,PUT,19-06-2020,540,EUR,"4,9",3,1,100,1470,1470,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-01-14,TDT,NL0009272749,,31-12-1899,0,EUR,"61,07",3231,1,1,"197317,17","197317,17","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-01-14,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,875",2026,1,1,"66604,75","66604,75","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-01-14,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"56,29",1194,1,1,"67210,26","67210,26","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-01-14,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,08",1224,1,1,"68641,92","68641,92","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-01-14,USD,,,31-12-1899,0,USD,0,"4,61","1,11272",0,"4,14","4,61",0,,0,,0
