RekNr,Datum,Symbool,ISIN,Type optie,Expiratie,Strike,Valuta,Slotkoers,Aantal,Valutakoers,Contractgrootte,Waarde EUR,Waarde Orig Valuta,Aankoopwaarde,Type instrument,Binckcode,Titel instrument,
5,2020-02-19,AEX,,PUT,19-06-2020,540,EUR,"2,76",3,1,100,828,828,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-19,TDT,NL0009272749,,31-12-1899,0,EUR,"62,93",3231,1,1,"203326,83","203326,83","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-19,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,946",2026,1,1,"68774,6","68774,6","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-19,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"55,97",1194,1,1,"66828,18","66828,18","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-19,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"59,729",1224,1,1,"73108,3","73108,3","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-19,USD,,,31-12-1899,0,USD,0,"4,61","1,08115",0,"4,26","4,61",0,,0,,0
5,2020-02-19,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-20,AEX,,PUT,20-03-2020,520,EUR,"0,16",3,1,100,48,48,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-20,AEX,,PUT,19-06-2020,540,EUR,"3,39",3,1,100,1017,1017,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-20,TDT,NL0009272749,,31-12-1899,0,EUR,"62,31",3231,1,1,"201323,61","201323,61","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-20,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,649",2026,1,1,"68172,87","68172,87","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-20,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"55,06",1194,1,1,"65741,64","65741,64","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-20,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,59,1224,1,1,72216,72216,"47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-20,USD,,,31-12-1899,0,USD,0,"4,61","1,07888",0,"4,27","4,61",0,,0,,0
5,2020-02-20,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-21,AEX,,PUT,20-03-2020,520,EUR,"0,24",3,1,100,72,72,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-21,AEX,,PUT,19-06-2020,540,EUR,"4,02",3,1,100,1206,1206,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-21,TDT,NL0009272749,,31-12-1899,0,EUR,"61,77",3231,1,1,"199578,87","199578,87","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-21,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,444",2026,1,1,"67757,54","67757,54","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-21,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"54,81",1194,1,1,"65443,14","65443,14","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-21,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"58,64",1224,1,1,"71775,36","71775,36","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-21,USD,,,31-12-1899,0,USD,0,"4,61","1,084865",0,"4,25","4,61",0,,0,,0
5,2020-02-21,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-22,AEX,,PUT,20-03-2020,520,EUR,"0,24",3,1,100,72,72,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-22,AEX,,PUT,19-06-2020,540,EUR,"4,02",3,1,100,1206,1206,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-22,TDT,NL0009272749,,31-12-1899,0,EUR,"61,77",3231,1,1,"199578,87","199578,87","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-22,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,444",2026,1,1,"67757,54","67757,54","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-22,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"54,81",1194,1,1,"65443,14","65443,14","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-22,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"58,64",1224,1,1,"71775,36","71775,36","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-22,USD,,,31-12-1899,0,USD,0,"4,61","1,084865",0,"4,25","4,61",0,,0,,0
5,2020-02-22,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-23,AEX,,PUT,20-03-2020,520,EUR,"0,24",3,1,100,72,72,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-23,AEX,,PUT,19-06-2020,540,EUR,"4,02",3,1,100,1206,1206,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-23,TDT,NL0009272749,,31-12-1899,0,EUR,"61,77",3231,1,1,"199578,87","199578,87","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-23,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"33,444",2026,1,1,"67757,54","67757,54","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-23,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"54,81",1194,1,1,"65443,14","65443,14","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-23,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"58,64",1224,1,1,"71775,36","71775,36","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-23,USD,,,31-12-1899,0,USD,0,"4,61","1,084865",0,"4,25","4,61",0,,0,,0
5,2020-02-23,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-24,AEX,,PUT,20-03-2020,520,EUR,"1,18",3,1,100,354,354,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-24,AEX,,PUT,19-06-2020,540,EUR,"9,02",3,1,100,2706,2706,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-24,TDT,NL0009272749,,31-12-1899,0,EUR,"59,4",3231,1,1,"191921,4","191921,4","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-24,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"32,21",2026,1,1,"65257,46","65257,46","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-24,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"52,68",1194,1,1,"62899,92","62899,92","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-24,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"56,798",1224,1,1,"69520,75","69520,75","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-24,USD,,,31-12-1899,0,USD,0,"4,61","1,08565",0,"4,25","4,61",0,,0,,0
5,2020-02-24,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-25,AEX,,PUT,20-03-2020,520,EUR,"1,97",3,1,100,591,591,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-25,AEX,,PUT,19-06-2020,540,EUR,"11,17",3,1,100,3351,3351,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-25,TDT,NL0009272749,,31-12-1899,0,EUR,"58,33",3231,1,1,"188464,23","188464,23","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-25,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"31,624",2026,1,1,"64070,22","64070,22","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-25,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"52,59",1194,1,1,"62792,46","62792,46","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-25,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"55,81",1224,1,1,"68311,44","68311,44","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-25,USD,,,31-12-1899,0,USD,0,"4,61","1,08846",0,"4,24","4,61",0,,0,,0
5,2020-02-25,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-26,AEX,,PUT,20-03-2020,520,EUR,"1,99",3,1,100,597,597,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-26,AEX,,PUT,19-06-2020,540,EUR,"11,97",3,1,100,3591,3591,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-26,TDT,NL0009272749,,31-12-1899,0,EUR,"58,28",3231,1,1,"188302,68","188302,68","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-26,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"31,608",2026,1,1,"64037,81","64037,81","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-26,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"52,93",1194,1,1,"63198,42","63198,42","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-26,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"55,422",1224,1,1,"67836,53","67836,53","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-26,USD,,,31-12-1899,0,USD,0,"4,61","1,08851",0,"4,24","4,61",0,,0,,0
5,2020-02-26,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-27,AEX,,PUT,20-03-2020,520,EUR,"7,09",3,1,100,2127,2127,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-27,AEX,,PUT,19-06-2020,540,EUR,"22,13",3,1,100,6639,6639,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-27,TDT,NL0009272749,,31-12-1899,0,EUR,"55,93",3231,1,1,"180709,83","180709,83","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-27,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"30,458",2026,1,1,"61707,91","61707,91","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-27,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"51,09",1194,1,1,"61001,46","61001,46","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-27,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"52,852",1224,1,1,"64690,85","64690,85","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-27,USD,,,31-12-1899,0,USD,0,"4,61","1,099645",0,"4,19","4,61",0,,0,,0
5,2020-02-27,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-28,AEX,,PUT,20-03-2020,520,EUR,"14,63",3,1,100,4389,4389,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-28,AEX,,PUT,19-06-2020,540,EUR,"34,98",3,1,100,10494,10494,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-28,TDT,NL0009272749,,31-12-1899,0,EUR,"53,98",3231,1,1,"174409,38","174409,38","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-28,VEUR NA,IE00B945VV12,,31-12-1899,0,EUR,"29,37",2026,1,1,"59503,62","59503,62","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-28,VFEM NA,IE00B3VVMM84,,31-12-1899,0,EUR,"49,4",1194,1,1,"58983,6","58983,6","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-28,VUSA NA,IE00B3XXRP09,,31-12-1899,0,EUR,"50,45",1224,1,1,"61750,8","61750,8","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-28,USD,,,31-12-1899,0,USD,0,"4,61","1,10273",0,"4,18","4,61",0,,0,,0
5,2020-02-28,EUR,,,31-12-1899,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-02-29,AEX,,PUT,20-03-2020,520,EUR,"14,63",3,1,100,4389,4389,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-02-29,AEX,,PUT,19-06-2020,540,EUR,"34,98",3,1,100,10494,10494,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-02-29,TDT,NL0009272749,,01-01-1900,0,EUR,"53,98",3231,1,1,"174409,38","174409,38","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-02-29,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"29,37",2026,1,1,"59503,62","59503,62","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-02-29,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,"49,4",1194,1,1,"58983,6","58983,6","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-02-29,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"50,45",1224,1,1,"61750,8","61750,8","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-02-29,USD,,,01-01-1900,0,USD,0,"4,61","1,10273",0,"4,18","4,61",0,,0,,0
5,2020-02-29,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-01,AEX,,PUT,20-03-2020,520,EUR,"14,63",3,1,100,4389,4389,"2.325,00",Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-01,AEX,,PUT,19-06-2020,540,EUR,"34,98",3,1,100,10494,10494,"1.905,00",Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-01,TDT,NL0009272749,,01-01-1900,0,EUR,"53,98",3231,1,1,"174409,38","174409,38","185.082,30",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-03-01,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"29,37",2026,1,1,"59503,62","59503,62","58.899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-03-01,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,"49,4",1194,1,1,"58983,6","58983,6","59.057,50",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-03-01,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"50,45",1224,1,1,"61750,8","61750,8","47.449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-03-01,USD,,,01-01-1900,0,USD,0,"4,61","1,10273",0,"4,18","4,61",0,,0,,0
5,2020-03-01,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-02,AEX,,PUT,20-03-2020,520,EUR,"11,09",3,1,100,3327,3327,2325,Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-02,AEX,,PUT,19-06-2020,540,EUR,"31,41",3,1,100,9423,9423,1905,Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-02,TDT,NL0009272749,,01-01-1900,0,EUR,"54,4",3231,1,1,"175766,4","175766,4","185082,3",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-03-02,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"29,45",2026,1,1,"59665,7","59665,7","58899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-03-02,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,"49,72",1194,1,1,"59365,68","59365,68","59057,5",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-03-02,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"51,434",1224,1,1,"62955,22","62955,22","47449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-03-02,USD,,,01-01-1900,0,USD,0,"4,61","1,11317",0,"4,14","4,61",0,,0,,0
5,2020-03-02,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-03,AEX,,PUT,20-03-2020,520,EUR,"7,8",3,1,100,2340,2340,2325,Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-03,AEX,,PUT,19-06-2020,540,EUR,"26,61",3,1,100,7983,7983,1905,Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-03,TDT,NL0009272749,,01-01-1900,0,EUR,"55,28",3231,1,1,"178609,68","178609,68","185082,3",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-03-03,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"29,849",2026,1,1,"60474,07","60474,07","58899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-03-03,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,"50,64",1194,1,1,"60464,16","60464,16","59057,5",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-03-03,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"51,926",1224,1,1,"63557,42","63557,42","47449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-03-03,USD,,,01-01-1900,0,USD,0,"4,61","1,11796",0,"4,12","4,61",0,,0,,0
5,2020-03-03,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-04,AEX,,PUT,20-03-2020,520,EUR,"4,38",3,1,100,1314,1314,2325,Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-04,AEX,,PUT,19-06-2020,540,EUR,"22,66",3,1,100,6798,6798,1905,Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-04,TDT,NL0009272749,,01-01-1900,0,EUR,"55,87",3231,1,1,"180515,97","180515,97","185082,3",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-03-04,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"30,344",2026,1,1,"61476,94","61476,94","58899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-03-04,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,"50,76",1194,1,1,"60607,44","60607,44","59057,5",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-03-04,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"52,373",1224,1,1,"64104,55","64104,55","47449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-03-04,USD,,,01-01-1900,0,USD,0,"4,61","1,11365",0,"4,14","4,61",0,,0,,0
5,2020-03-04,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-05,AEX,,PUT,20-03-2020,520,EUR,"6,37",3,1,100,1911,1911,2325,Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-05,AEX,,PUT,19-06-2020,540,EUR,"26,99",3,1,100,8097,8097,1905,Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-05,TDT,NL0009272749,,01-01-1900,0,EUR,"55,42",3231,1,1,"179062,02","179062,02","185082,3",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-03-05,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"29,828",2026,1,1,"60431,53","60431,53","58899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-03-05,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,"50,3",1194,1,1,"60058,2","60058,2","59057,5",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-03-05,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"52,241",1224,1,1,"63942,98","63942,98","47449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-03-05,USD,,,01-01-1900,0,USD,0,"4,61","1,12335",0,"4,1","4,61",0,,0,,0
5,2020-03-05,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-06,AEX,,PUT,20-03-2020,520,EUR,"13,99",3,1,100,4197,4197,2325,Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-06,AEX,,PUT,19-06-2020,540,EUR,"42,19",3,1,100,12657,12657,1905,Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-06,TDT,NL0009272749,,01-01-1900,0,EUR,"53,35",3231,1,1,"172373,85","172373,85","185082,3",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-03-06,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"28,773",2026,1,1,"58294,1","58294,1","58899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-03-06,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,48,1194,1,1,57312,57312,"59057,5",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-03-06,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"49,71",1224,1,1,"60845,04","60845,04","47449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-03-06,USD,,,01-01-1900,0,USD,0,"4,61","1,130505",0,"4,08","4,61",0,,0,,0
5,2020-03-06,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-07,AEX,,PUT,20-03-2020,520,EUR,"13,99",3,1,100,4197,4197,2325,Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-07,AEX,,PUT,19-06-2020,540,EUR,"42,19",3,1,100,12657,12657,1905,Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-07,TDT,NL0009272749,,01-01-1900,0,EUR,"53,35",3231,1,1,"172373,85","172373,85","185082,3",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-03-07,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"28,773",2026,1,1,"58294,1","58294,1","58899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-03-07,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,48,1194,1,1,57312,57312,"59057,5",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-03-07,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"49,71",1224,1,1,"60845,04","60845,04","47449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-03-07,USD,,,01-01-1900,0,USD,0,"4,61","1,130505",0,"4,08","4,61",0,,0,,0
5,2020-03-07,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-08,AEX,,PUT,20-03-2020,520,EUR,"13,99",3,1,100,4197,4197,2325,Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-08,AEX,,PUT,19-06-2020,540,EUR,"42,19",3,1,100,12657,12657,1905,Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-08,TDT,NL0009272749,,01-01-1900,0,EUR,"53,35",3231,1,1,"172373,85","172373,85","185082,3",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-03-08,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"28,773",2026,1,1,"58294,1","58294,1","58899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-03-08,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,48,1194,1,1,57312,57312,"59057,5",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-03-08,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"49,71",1224,1,1,"60845,04","60845,04","47449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-03-08,USD,,,01-01-1900,0,USD,0,"4,61","1,130505",0,"4,08","4,61",0,,0,,0
5,2020-03-08,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-09,AEX,,PUT,20-03-2020,520,EUR,"37,26",3,1,100,11178,11178,2325,Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-09,AEX,,PUT,19-06-2020,540,EUR,"70,58",3,1,100,21174,21174,1905,Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-09,TDT,NL0009272749,,01-01-1900,0,EUR,"49,375",3231,1,1,"159530,63","159530,63","185082,3",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
5,2020-03-09,VEUR NA,IE00B945VV12,,01-01-1900,0,EUR,"26,61",2026,1,1,"53911,86","53911,86","58899,04",Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
5,2020-03-09,VFEM NA,IE00B3VVMM84,,01-01-1900,0,EUR,"44,55",1194,1,1,"53192,7","53192,7","59057,5",Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0
5,2020-03-09,VUSA NA,IE00B3XXRP09,,01-01-1900,0,EUR,"46,593",1224,1,1,"57029,83","57029,83","47449,98",Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0
5,2020-03-09,USD,,,01-01-1900,0,USD,0,"4,61","1,144385",0,"4,03","4,61",0,,0,,0
5,2020-03-09,EUR,,,01-01-1900,0,EUR,0,"58850,69",1,0,"58850,69","58850,69",0,,1234,,0
5,2020-03-10,AEX,,PUT,20-03-2020,520,EUR,"40,83",3,1,100,12249,12249,2325,Indexopties,103242,AEX P MAR 2020 520.00,0
5,2020-03-10,AEX,,PUT,19-06-2020,540,EUR,"75,5",3,1,100,22650,22650,1905,Indexopties,103242,AEX P JUN 2020 540.00,0
5,2020-03-10,TDT,NL0009272749,,01-01-1900,0,EUR,"48,55",3231,1,1,"156865,05","156865,05","185082,3",Aandelen Nederland,927274,VanEck Vectors AEX UCITS ETF,0
